"imdb_title_id","title","original_title","year","date_published","genre","duration","country","language_1","language_2","language_3","director","writer","actors","actors_1","actors_2","description","desc35","avg_vote","votes","usa_gross_income","worlwide_gross_income","reviews_from_users","budget","profit","success_rating_0_10","month_published","num_films","month"
"tt0035423","Kate & Leopold","Kate & Leopold",2001,"2002-03-01","Comedy",118,"USA","English","French","","James Mangold","Steven Rogers","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal","Meg Ryan"," Hugh Jackman","An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.","An English Duke from 1876 is inadvertedly",6.4,77852,47.122,76.019,341,48,28.019,0.537,"March",1,"03"
"tt0035423","Kate & Leopold","Kate & Leopold",2001,"2002-03-01","Fantasy",118,"USA","English","French","","James Mangold","Steven Rogers","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal","Meg Ryan"," Hugh Jackman","An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.","An English Duke from 1876 is inadvertedly",6.4,77852,47.122,76.019,341,48,28.019,0.537,"March",1,"03"
"tt0035423","Kate & Leopold","Kate & Leopold",2001,"2002-03-01","Romance",118,"USA","English","French","","James Mangold","Steven Rogers","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal","Meg Ryan"," Hugh Jackman","An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.","An English Duke from 1876 is inadvertedly",6.4,77852,47.122,76.019,341,48,28.019,0.537,"March",1,"03"
"tt0120630","Galline in fuga","Chicken Run",2000,"2000-12-15","Animation",84,"UK","English","","","Peter Lord","Peter Lord","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow","Phil Daniels"," Lynn Ferguson","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.","When a cockerel apparently flies",7,173987,106.835,224.835,393,45,179.835,1.714,"December",1,"12"
"tt0120630","Galline in fuga","Chicken Run",2000,"2000-12-15","Adventure",84,"UK","English","","","Peter Lord","Peter Lord","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow","Phil Daniels"," Lynn Ferguson","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.","When a cockerel apparently flies",7,173987,106.835,224.835,393,45,179.835,1.714,"December",1,"12"
"tt0120630","Galline in fuga","Chicken Run",2000,"2000-12-15","Comedy",84,"UK","English","","","Peter Lord","Peter Lord","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow","Phil Daniels"," Lynn Ferguson","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.","When a cockerel apparently flies",7,173987,106.835,224.835,393,45,179.835,1.714,"December",1,"12"
"tt0120679","Frida","Frida",2002,"2003-01-17","Biography",123,"Mexico","English","French","Russian","Julie Taymor","Hayden Herrera","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas","Salma Hayek"," Mía Maestro","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work","A biography of artist Frida Kahlo,",7.4,79690,25.885,56.298,297,12,44.298,1.663,"January",1,"01"
"tt0120679","Frida","Frida",2002,"2003-01-17","Drama",123,"Mexico","English","French","Russian","Julie Taymor","Hayden Herrera","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas","Salma Hayek"," Mía Maestro","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work","A biography of artist Frida Kahlo,",7.4,79690,25.885,56.298,297,12,44.298,1.663,"January",1,"01"
"tt0120679","Frida","Frida",2002,"2003-01-17","Romance",123,"Mexico","English","French","Russian","Julie Taymor","Hayden Herrera","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas","Salma Hayek"," Mía Maestro","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work","A biography of artist Frida Kahlo,",7.4,79690,25.885,56.298,297,12,44.298,1.663,"January",1,"01"
"tt0120681","La vera storia di Jack lo Squartatore","From Hell",2001,"2001-12-21","Horror",122,"USA","English","","","Albert Hughes","Alan Moore","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian Richardson, Jason Flemyng, Katrin Cartlidge, Terence Harvey, Susan Lynch, Paul Rhys, Lesley Sharp, Estelle Skornik, Nicholas McGaughey, Annabelle Apsion, Joanna Page","Johnny Depp"," Heather Graham","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.","In Victorian-era London, a troubled",6.8,144714,31.603,74.558,556,35,39.558,1.097,"December",1,"12"
