"imdb_title_id","title","original_title","year","date_published","genre","duration","country","language_1","language_2","language_3","director","writer","actors","actors_1","actors_f2","description","desc35","avg_vote","votes","usa_gross_income","worlwide_gross_income","reviews_from_users","budget","profit"
"tt0035423","Kate & Leopold","Kate & Leopold",2001,"2002-03-01","Comedy, Fantasy, Romance",118,"USA","English","French","","James Mangold","Steven Rogers, James Mangold","Meg Ryan, Hugh Jackman, Liev Schreiber, Breckin Meyer, Natasha Lyonne, Bradley Whitford, Paxton Whitehead, Spalding Gray, Josh Stamberg, Matthew Sussman, Charlotte Ayanna, Philip Bosco, Andrew Jack, Stan Tracy, Kristen Schaal","Meg Ryan","Meg Ryan, Hugh Jackman","An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.","An English Duke from 1876 is inadvertedly",6.4,77852,47.121859,76.019048,341,48,28.019048
"tt0120630","Galline in fuga","Chicken Run",2000,"2000-12-15","Animation, Adventure, Comedy",84,"UK, USA, France","English","","","Peter Lord, Nick Park","Peter Lord, Nick Park","Phil Daniels, Lynn Ferguson, Mel Gibson, Tony Haygarth, Jane Horrocks, Miranda Richardson, Julia Sawalha, Timothy Spall, Imelda Staunton, Benjamin Whitrow","Phil Daniels","Phil Daniels, Lynn Ferguson","When a cockerel apparently flies into a chicken farm, the chickens see him as an opportunity to escape their evil owners.","When a cockerel apparently flies",7,173987,106.834564,224.834564,393,45,179.834564
"tt0120679","Frida","Frida",2002,"2003-01-17","Biography, Drama, Romance",123,"Mexico, USA, Canada","English","French","Russian","Julie Taymor","Hayden Herrera, Clancy Sigal","Salma Hayek, Mía Maestro, Amelia Zapata, Alejandro Usigli, Diego Luna, Alfred Molina, Lucia Bravo, Valeria Golino, Patricia Reyes Spíndola, Loló Navarro, Roger Rees, Fermín Martínez, Roberto Medina, Ashley Judd, Antonio Banderas","Salma Hayek","Salma Hayek, Mía Maestro","A biography of artist Frida Kahlo, who channeled the pain of a crippling injury and her tempestuous marriage into her work","A biography of artist Frida Kahlo,",7.4,79690,25.885,56.298474,297,12,44.298474
"tt0120681","La vera storia di Jack lo Squartatore","From Hell",2001,"2001-12-21","Horror, Mystery, Thriller",122,"USA, Czech Republic, UK","English","","","Albert Hughes, Allen Hughes","Alan Moore, Eddie Campbell","Johnny Depp, Heather Graham, Ian Holm, Robbie Coltrane, Ian Richardson, Jason Flemyng, Katrin Cartlidge, Terence Harvey, Susan Lynch, Paul Rhys, Lesley Sharp, Estelle Skornik, Nicholas McGaughey, Annabelle Apsion, Joanna Page","Johnny Depp","Johnny Depp, Heather Graham","In Victorian-era London, a troubled clairvoyant police detective investigates the murders of Jack the Ripper.","In Victorian-era London, a troubled",6.8,144714,31.602566,74.558115,556,35,39.558115
"tt0120737","Il Signore degli Anelli - La compagnia dell'Anello","The Lord of the Rings: The Fellowship of the Ring",2001,"2002-01-18","Action, Adventure, Drama",178,"New Zealand, USA","English","Sindarin","","Peter Jackson","J.R.R. Tolkien, Fran Walsh","Alan Howard, Noel Appleby, Sean Astin, Sala Baker, Sean Bean, Cate Blanchett, Orlando Bloom, Billy Boyd, Marton Csokas, Megan Edwards, Michael Elsworth, Mark Ferguson, Ian Holm, Christopher Lee, Lawrence Makoare","Alan Howard","Alan Howard, Noel Appleby","A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","A meek Hobbit from the Shire and",8.8,1619920,315.54475,887.934303,5392,93,794.934303
"tt0120755","Mission: Impossible II","Mission: Impossible II",2000,"2000-07-07","Action, Adventure, Thriller",123,"USA, Germany","English","","","John Woo","Bruce Geller, Ronald D. Moore","Tom Cruise, Dougray Scott, Thandie Newton, Ving Rhames, Richard Roxburgh, John Polson, Brendan Gleeson, Rade Serbedzija, William Mapother, Dominic Purcell, Mathew Wilkinson, Nicholas Bell, Cristina Brogeras, Kee Chan, Kim Fleming","Tom Cruise","Tom Cruise, Dougray Scott","IMF agent Ethan Hunt is sent to Sydney to find and destroy a genetically modified disease called ""Chimera"".","IMF agent Ethan Hunt is sent to",6.1,308586,215.409889,546.388108,1501,125,421.388108
"tt0120804","Resident Evil","Resident Evil",2002,"2002-07-05","Action, Horror, Sci-Fi",100,"UK, Germany, USA","English","","","Paul W.S. Anderson","Paul W.S. Anderson","Ryan McCluskey, Oscar Pearce, Indra Ové, Anna Bolt, Joseph May, Robert Tannion, Heike Makatsch, Jaymes Butler, Stephen Billington, Fiona Glascott, Milla Jovovich, Eric Mabius, Colin Salmon, Martin Crewes, Pasquale Aleardi","Ryan McCluskey","Ryan McCluskey, Oscar Pearce","A special military unit fights a powerful, out-of-control supercomputer and hundreds of scientists who have mutated into flesh-eating creatures after a laboratory accident.","A special military unit fights",6.7,243241,40.119709,102.984862,1178,33,69.984862
"tt0120903","X-Men","X-Men",2000,"2000-10-27","Action, Adventure, Sci-Fi",104,"USA","English","","","Bryan Singer","Tom DeSanto, Bryan Singer","Hugh Jackman, Patrick Stewart, Ian McKellen, Famke Janssen, James Marsden, Halle Berry, Anna Paquin, Tyler Mane, Ray Park, Rebecca Romijn, Bruce Davison, Matthew Sharp, Brett Morris, Rhona Shekter, Kenneth McGregor","Hugh Jackman","Hugh Jackman, Patrick Stewart","In a world where mutants (evolved super-powered humans) exist and are discriminated against, two groups form for an inevitable clash: the supremacist Brotherhood, and the pacifist X-Men.","In a world where mutants (evolved",7.4,562022,157.299718,296.339528,1448,75,221.339528
"tt0120912","Men in Black II","Men in Black II",2002,"2002-09-13","Action, Adventure, Comedy",88,"USA","English","","","Barry Sonnenfeld","Lowell Cunningham, Robert Gordon","Tommy Lee Jones, Will Smith, Rip Torn, Lara Flynn Boyle, Johnny Knoxville, Rosario Dawson, Tony Shalhoub, Patrick Warburton, Jack Kehler, David Cross, Colombe Jacobsen-Derstine, Peter Spellos, Michael Rivkin, Michael Bailey Smith, Lenny Venito","Tommy Lee Jones","Tommy Lee Jones, Will Smith","Agent J is sent to find Agent K and restore his memory after the re-appearance of a case from K's past.","Agent J is sent to find Agent",6.2,337088,193.735288,445.135288,650,140,305.135288
"tt0120917","Le follie dell'imperatore","The Emperor's New Groove",2000,"2001-04-06","Animation, Adventure, Comedy",78,"USA","English","","","Mark Dindal","Chris Williams, Mark Dindal","David Spade, John Goodman, Eartha Kitt, Patrick Warburton, Wendie Malick, Kellyann Kelso, Eli Russell Linnetz, Stephen J. Anderson, Bob Bergen, Rodger Bumpass, Robert Clotworthy, Jennifer Darling, Patti Deutsch, John Fiedler, Miriam Flynn","David Spade","David Spade, John Goodman","Emperor Kuzco is turned into a llama by his ex-administrator Yzma, and must now regain his throne with the help of Pacha, the gentle llama herder.","Emperor Kuzco is turned into a",7.3,175207,89.302687,169.327687,330,100,69.327687
